cSum=504999983 | maxSum=0
cSum=504999999 | maxSum=504999983
cSum=504999914 | maxSum=504999999
cSum=504999999 | maxSum=504999999
cSum=504999899 | maxSum=504999999
cSum=504999988 | maxSum=504999999
cSum=504999984 | maxSum=504999999
cSum=504999980 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999961 | maxSum=504999999
cSum=504999993 | maxSum=504999999
cSum=504999968 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999992 | maxSum=504999999
cSum=504999999 | maxSum=504999999
cSum=504999972 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999965 | maxSum=504999999
cSum=504999994 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999973 | maxSum=504999999
cSum=504999986 | maxSum=504999999
cSum=504999989 | maxSum=504999999
cSum=504999977 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999988 | maxSum=504999999
cSum=504999972 | maxSum=504999999
cSum=504999934 | maxSum=504999999
cSum=504999992 | maxSum=504999999
cSum=504999993 | maxSum=504999999
cSum=504999964 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999992 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999960 | maxSum=504999999
cSum=504999989 | maxSum=504999999
cSum=504999979 | maxSum=504999999
cSum=504999973 | maxSum=504999999
cSum=504999985 | maxSum=504999999
cSum=504999986 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999973 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999990 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999977 | maxSum=504999999
cSum=504999985 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999995 | maxSum=504999999
cSum=504999967 | maxSum=504999999
cSum=504999992 | maxSum=504999999
cSum=504999977 | maxSum=504999999
cSum=504999990 | maxSum=504999999
cSum=504999999 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999995 | maxSum=504999999
cSum=504999994 | maxSum=504999999
cSum=504999971 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999973 | maxSum=504999999
cSum=504999967 | maxSum=504999999
cSum=504999964 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999977 | maxSum=504999999
cSum=504999983 | maxSum=504999999
cSum=504999990 | maxSum=504999999
cSum=504999986 | maxSum=504999999
cSum=504999993 | maxSum=504999999
cSum=504999976 | maxSum=504999999
cSum=504999984 | maxSum=504999999
cSum=504999995 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999989 | maxSum=504999999
cSum=504999991 | maxSum=504999999
cSum=504999991 | maxSum=504999999
cSum=504999994 | maxSum=504999999
cSum=504999995 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999978 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999999 | maxSum=504999999
cSum=504999989 | maxSum=504999999
cSum=504999986 | maxSum=504999999
cSum=504999999 | maxSum=504999999
cSum=504999961 | maxSum=504999999
cSum=504999988 | maxSum=504999999
cSum=504999975 | maxSum=504999999
cSum=504999992 | maxSum=504999999
cSum=504999974 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999994 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999984 | maxSum=504999999
cSum=504999998 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999972 | maxSum=504999999
cSum=504999987 | maxSum=504999999
cSum=504999989 | maxSum=504999999
cSum=504999994 | maxSum=504999999
cSum=504999974 | maxSum=504999999
cSum=504999982 | maxSum=504999999
cSum=504999967 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999991 | maxSum=504999999
cSum=504999996 | maxSum=504999999
cSum=504999956 | maxSum=504999999
cSum=504999984 | maxSum=504999999
cSum=504999997 | maxSum=504999999
cSum=504999988 | maxSum=504999999
cSum=504999990 | maxSum=504999999
cSum=504999991 | maxSum=504999999
cSum=504999988 | maxSum=504999999
cSum=504999987 | maxSum=504999999
