(slices[9999]) currentSum=504999983 | maxSum=0
(slices[9998]) currentSum=504999999 | maxSum=504999983
(slices[9997]) currentSum=505000000 | maxSum=504999999
(slices[9996]) currentSum=504999999 | maxSum=505000000
(slices[9995]) currentSum=504999899 | maxSum=505000000
(slices[9994]) currentSum=504999988 | maxSum=505000000
(slices[9993]) currentSum=504999984 | maxSum=505000000
(slices[9992]) currentSum=504999980 | maxSum=505000000
(slices[9991]) currentSum=504999996 | maxSum=505000000
(slices[9990]) currentSum=504999961 | maxSum=505000000
(slices[9989]) currentSum=504999993 | maxSum=505000000
(slices[9988]) currentSum=504999968 | maxSum=505000000
(slices[9987]) currentSum=504999987 | maxSum=505000000
(slices[9986]) currentSum=504999992 | maxSum=505000000
(slices[9985]) currentSum=505000000 | maxSum=505000000
(slices[9984]) currentSum=504999972 | maxSum=505000000
(slices[9983]) currentSum=505000000 | maxSum=505000000
(slices[9982]) currentSum=504999965 | maxSum=505000000
(slices[9981]) currentSum=504999994 | maxSum=505000000
(slices[9980]) currentSum=504999997 | maxSum=505000000
(slices[9979]) currentSum=504999998 | maxSum=505000000
(slices[9978]) currentSum=504999973 | maxSum=505000000
(slices[9977]) currentSum=504999986 | maxSum=505000000
(slices[9976]) currentSum=504999989 | maxSum=505000000
(slices[9975]) currentSum=504999977 | maxSum=505000000
(slices[9974]) currentSum=504999997 | maxSum=505000000
(slices[9973]) currentSum=504999988 | maxSum=505000000
(slices[9972]) currentSum=504999972 | maxSum=505000000
(slices[9971]) currentSum=504999934 | maxSum=505000000
(slices[9970]) currentSum=504999992 | maxSum=505000000
(slices[9969]) currentSum=504999993 | maxSum=505000000
(slices[9968]) currentSum=504999964 | maxSum=505000000
(slices[9967]) currentSum=504999998 | maxSum=505000000
(slices[9966]) currentSum=504999992 | maxSum=505000000
(slices[9965]) currentSum=504999997 | maxSum=505000000
(slices[9964]) currentSum=504999960 | maxSum=505000000
(slices[9963]) currentSum=504999989 | maxSum=505000000
(slices[9962]) currentSum=504999979 | maxSum=505000000
(slices[9961]) currentSum=504999973 | maxSum=505000000
(slices[9960]) currentSum=505000000 | maxSum=505000000
(slices[9959]) currentSum=504999986 | maxSum=505000000
(slices[9958]) currentSum=504999996 | maxSum=505000000
(slices[9957]) currentSum=504999996 | maxSum=505000000
(slices[9956]) currentSum=504999973 | maxSum=505000000
(slices[9955]) currentSum=504999987 | maxSum=505000000
(slices[9954]) currentSum=504999990 | maxSum=505000000
(slices[9953]) currentSum=504999997 | maxSum=505000000
(slices[9952]) currentSum=504999977 | maxSum=505000000
(slices[9951]) currentSum=504999985 | maxSum=505000000
(slices[9950]) currentSum=504999987 | maxSum=505000000
(slices[9949]) currentSum=504999995 | maxSum=505000000
(slices[9948]) currentSum=504999967 | maxSum=505000000
(slices[9947]) currentSum=504999992 | maxSum=505000000
(slices[9946]) currentSum=504999977 | maxSum=505000000
(slices[9945]) currentSum=504999990 | maxSum=505000000
(slices[9944]) currentSum=504999999 | maxSum=505000000
(slices[9943]) currentSum=504999996 | maxSum=505000000
(slices[9942]) currentSum=504999995 | maxSum=505000000
(slices[9941]) currentSum=504999994 | maxSum=505000000
(slices[9940]) currentSum=504999971 | maxSum=505000000
(slices[9939]) currentSum=504999998 | maxSum=505000000
(slices[9938]) currentSum=504999973 | maxSum=505000000
(slices[9937]) currentSum=504999967 | maxSum=505000000
(slices[9936]) currentSum=504999964 | maxSum=505000000
(slices[9935]) currentSum=504999996 | maxSum=505000000
(slices[9934]) currentSum=504999977 | maxSum=505000000
(slices[9933]) currentSum=505000000 | maxSum=505000000
