currentSum=4495 | maxSum=0
currentSum=4500 | maxSum=4495
currentSum=4329 | maxSum=4500
currentSum=4135 | maxSum=4500
currentSum=3946 | maxSum=4500
currentSum=3761 | maxSum=4500
currentSum=3577 | maxSum=4500
currentSum=3398 | maxSum=4500
currentSum=3226 | maxSum=4500
currentSum=3057 | maxSum=4500
currentSum=2897 | maxSum=4500
currentSum=2740 | maxSum=4500
currentSum=2584 | maxSum=4500
currentSum=2435 | maxSum=4500
currentSum=2290 | maxSum=4500
currentSum=2145 | maxSum=4500
currentSum=2010 | maxSum=4500
currentSum=1890 | maxSum=4500
currentSum=1776 | maxSum=4500
currentSum=1662 | maxSum=4500
currentSum=1549 | maxSum=4500
currentSum=1446 | maxSum=4500
currentSum=1349 | maxSum=4500
currentSum=1255 | maxSum=4500
currentSum=1162 | maxSum=4500
currentSum=1070 | maxSum=4500
currentSum=993 | maxSum=4500
currentSum=916 | maxSum=4500
currentSum=840 | maxSum=4500
currentSum=772 | maxSum=4500
currentSum=707 | maxSum=4500
currentSum=644 | maxSum=4500
currentSum=582 | maxSum=4500
currentSum=521 | maxSum=4500
currentSum=460 | maxSum=4500
currentSum=404 | maxSum=4500
currentSum=358 | maxSum=4500
currentSum=313 | maxSum=4500
currentSum=272 | maxSum=4500
currentSum=238 | maxSum=4500
currentSum=206 | maxSum=4500
currentSum=174 | maxSum=4500
currentSum=144 | maxSum=4500
currentSum=115 | maxSum=4500
currentSum=86 | maxSum=4500
currentSum=58 | maxSum=4500
currentSum=44 | maxSum=4500
currentSum=31 | maxSum=4500
