cSum=999999725 | maxSum=0
cSum=999999856 | maxSum=999999725
cSum=999999910 | maxSum=999999856
cSum=999999770 | maxSum=999999910
cSum=999999849 | maxSum=999999910
cSum=999999917 | maxSum=999999910
cSum=999999932 | maxSum=999999917
cSum=999999619 | maxSum=999999932
cSum=999999921 | maxSum=999999932
cSum=999999877 | maxSum=999999932
cSum=999854624 | maxSum=999999932
cSum=998858833 | maxSum=999999932
cSum=997863285 | maxSum=999999932
cSum=996868004 | maxSum=999999932
cSum=995872844 | maxSum=999999932
cSum=994877826 | maxSum=999999932
cSum=993883660 | maxSum=999999932
cSum=992889814 | maxSum=999999932
cSum=991896143 | maxSum=999999932
cSum=990903027 | maxSum=999999932
cSum=989910028 | maxSum=999999932
cSum=988917135 | maxSum=999999932
cSum=987924857 | maxSum=999999932
cSum=986932789 | maxSum=999999932
cSum=985940813 | maxSum=999999932
cSum=984949422 | maxSum=999999932
cSum=983958220 | maxSum=999999932
cSum=982967062 | maxSum=999999932
cSum=981976054 | maxSum=999999932
cSum=980985951 | maxSum=999999932
cSum=979995951 | maxSum=999999932
cSum=979006916 | maxSum=999999932
cSum=978018153 | maxSum=999999932
cSum=977029566 | maxSum=999999932
cSum=976041048 | maxSum=999999932
cSum=975052787 | maxSum=999999932
cSum=974065401 | maxSum=999999932
cSum=973078147 | maxSum=999999932
cSum=972091320 | maxSum=999999932
cSum=971105227 | maxSum=999999932
cSum=970119209 | maxSum=999999932
cSum=969133221 | maxSum=999999932
cSum=968148309 | maxSum=999999932
cSum=967163590 | maxSum=999999932
cSum=966179000 | maxSum=999999932
cSum=965196796 | maxSum=999999932
cSum=964215557 | maxSum=999999932
cSum=963234549 | maxSum=999999932
cSum=962254388 | maxSum=999999932
cSum=961274315 | maxSum=999999932
cSum=960294634 | maxSum=999999932
cSum=959315561 | maxSum=999999932
cSum=958336917 | maxSum=999999932
cSum=957358453 | maxSum=999999932
cSum=956380236 | maxSum=999999932
cSum=955402228 | maxSum=999999932
cSum=954425160 | maxSum=999999932
cSum=953449078 | maxSum=999999932
cSum=952473977 | maxSum=999999932
cSum=951499696 | maxSum=999999932
cSum=950525499 | maxSum=999999932
cSum=949551412 | maxSum=999999932
cSum=948577353 | maxSum=999999932
cSum=947604567 | maxSum=999999932
cSum=946632992 | maxSum=999999932
cSum=945661575 | maxSum=999999932
cSum=944690791 | maxSum=999999932
cSum=943720205 | maxSum=999999932
cSum=942749812 | maxSum=999999932
cSum=941780366 | maxSum=999999932
cSum=940811525 | maxSum=999999932
cSum=939843360 | maxSum=999999932
cSum=938876067 | maxSum=999999932
cSum=937908920 | maxSum=999999932
cSum=936942221 | maxSum=999999932
cSum=935976230 | maxSum=999999932
cSum=935010515 | maxSum=999999932
cSum=934044966 | maxSum=999999932
cSum=933080626 | maxSum=999999932
cSum=932116366 | maxSum=999999932
cSum=931152268 | maxSum=999999932
cSum=930189107 | maxSum=999999932
cSum=929225990 | maxSum=999999932
cSum=928263902 | maxSum=999999932
cSum=927303280 | maxSum=999999932
cSum=926343514 | maxSum=999999932
cSum=925384491 | maxSum=999999932
cSum=924425991 | maxSum=999999932
cSum=923468080 | maxSum=999999932
cSum=922510229 | maxSum=999999932
cSum=921552686 | maxSum=999999932
cSum=920595359 | maxSum=999999932
cSum=919638138 | maxSum=999999932
cSum=918681128 | maxSum=999999932
cSum=917726226 | maxSum=999999932
cSum=916771508 | maxSum=999999932
cSum=915817644 | maxSum=999999932
cSum=914864031 | maxSum=999999932
cSum=913911345 | maxSum=999999932
cSum=912958756 | maxSum=999999932
cSum=912006432 | maxSum=999999932
cSum=911054247 | maxSum=999999932
cSum=910103213 | maxSum=999999932
cSum=909152256 | maxSum=999999932
cSum=908202804 | maxSum=999999932
cSum=907253439 | maxSum=999999932
cSum=906304597 | maxSum=999999932
cSum=905356471 | maxSum=999999932
cSum=904408583 | maxSum=999999932
cSum=903461224 | maxSum=999999932
cSum=902513886 | maxSum=999999932
cSum=901567040 | maxSum=999999932
cSum=900620329 | maxSum=999999932
cSum=899673999 | maxSum=999999932
cSum=898728451 | maxSum=999999932
cSum=897783414 | maxSum=999999932
